2020-12-08 11:52:10.087 [http-nio-8005-exec-1] INFO  o.a.c.c.C.[.[.[/news/admin] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-08 11:52:10.088 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-08 11:52:10.103 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 15 ms
2020-12-08 11:52:10.177 [http-nio-8005-exec-1] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 11:52:10.177 [http-nio-8005-exec-2] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:52:10.190 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 11:52:10.341 [http-nio-8005-exec-2] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-12-08 11:52:10.344 [http-nio-8005-exec-2] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-12-08 11:52:10.405 [http-nio-8005-exec-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:45}] to 127.0.0.1:27017
2020-12-08 11:52:10.493 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：302
2020-12-08 11:52:18.488 [http-nio-8005-exec-4] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 11:52:18.488 [http-nio-8005-exec-3] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:52:18.491 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 11:52:18.498 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：7
